
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:3A:99:F6:EF:60, 2012-09-28 04:25:53, 2012-09-28 04:26:53, 108,  -1, OPN ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
DE:AD:DE:AD:BE:EF, 2012-09-28 04:25:04, 2012-09-28 04:25:36,  1,  54, OPN ,       ,   , -80,      298,      425, 169.254. 36.182,   7, attwifi, 
10:BF:48:E5:CD:E0, 2012-09-28 04:25:04, 2012-09-28 04:27:56,  1,  54, WPA2, CCMP,PSK, -79,     1474,      205,   0.  0.  0.  0,  17, Free_Viruses_Here, 
00:12:D9:ED:31:F0, 2012-09-28 04:25:04, 2012-09-28 04:27:56,  1,  54, OPN ,       ,   , -95,      526,       21, 172. 17.  1.  1,  16, Hyatt_Louisville, 
00:40:96:A0:A5:02, 2012-09-28 04:25:04, 2012-09-28 04:27:56,  1,  11, WEP , WEP,   , -63,     1357,       46,   0.  0.  0.  0,  14, aircrackngwep2, 
00:12:43:9F:8A:70, 2012-09-28 04:25:04, 2012-09-28 04:27:56,  1,  54, OPN ,       ,   , -63,      853,      440, 172. 17.  1.  1,  16, Hyatt_Louisville, 
BC:AE:C5:E7:FA:3F, 2012-09-28 04:25:18, 2012-09-28 04:27:56,  1,  54, WPA2, CCMP,PSK, -111,       34,       10,   0.  0.  0.  0,  10, Metasploit, 
00:21:29:6C:AA:AF, 2012-09-28 04:25:04, 2012-09-28 04:27:56,  1,  54, WPA2, CCMP,PSK, -79,     1578,        0,   0.  0.  0.  0,  13, aircrackngwpa, 
00:C0:CA:57:0E:14, 2012-09-28 04:25:07, 2012-09-28 04:27:56,  6,  54, OPN ,       ,   , -94,      115,        0,   0.  0.  0.  0,  19, 'drop table guest;', 
00:C0:CA:62:01:E6, 2012-09-28 04:25:47, 2012-09-28 04:27:37, 11,  54, WPA2, CCMP,PSK, -62,        5,        0,   0.  0.  0.  0,   7, Synapse, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C8:60:00:08:44:9D, 2012-09-28 04:26:43, 2012-09-28 04:26:43, -127,       38, (not associated) , Naptowne Inn,Zero Wireless Office 2,UGuest,DementedRobot2,Dementedrobot2,attwifi,Fuze Network,Comfort Inn On-WiFi 2,Comfort Inn On-WiFi 20,kaladi brothers coffee
B8:C7:5D:AB:80:28, 2012-09-28 04:26:32, 2012-09-28 04:26:32, -46,        1, (not associated) , registration
E0:B9:A5:A1:78:9A, 2012-09-28 04:26:30, 2012-09-28 04:26:30, -127,        3, (not associated) ,
8C:70:5A:2B:57:28, 2012-09-28 04:25:21, 2012-09-28 04:26:30, -127,        2, (not associated) , Hyatt_Louisville
24:77:03:78:42:34, 2012-09-28 04:25:18, 2012-09-28 04:26:30, -127,        6, (not associated) , Powershell
A4:D1:D2:52:C9:E2, 2012-09-28 04:26:21, 2012-09-28 04:27:54, -127,       10, (not associated) , PWND FTW,University of Washington,C-Mart,schmanning,gogoinflight,MOST AMAZING COFFEE  - TRABANT,Allegro WiFi
A8:6A:6F:ED:48:93, 2012-09-28 04:26:22, 2012-09-28 04:26:23, -47,        7, (not associated) , insight_wifi_7617,FreeWifi,ancre2,gogoinflight
A0:88:B4:10:18:C8, 2012-09-28 04:26:09, 2012-09-28 04:26:09, -127,        2, (not associated) ,
18:34:51:50:A5:70, 2012-09-28 04:25:23, 2012-09-28 04:26:03, -127,        8, (not associated) , Hyatt_Louisville
7C:61:93:9B:43:26, 2012-09-28 04:25:35, 2012-09-28 04:25:40, -45,       25, (not associated) , attwifi
7C:C5:37:77:6D:BF, 2012-09-28 04:25:29, 2012-09-28 04:25:29, -46,        1, (not associated) ,
F8:7B:7A:CB:D5:A1, 2012-09-28 04:25:21, 2012-09-28 04:25:21, -127,        3, (not associated) , FBIVan
A8:6A:6F:95:BC:50, 2012-09-28 04:25:16, 2012-09-28 04:25:16, -45,        3, (not associated) , Hyatt_Louisville
A0:88:B4:40:4A:DC, 2012-09-28 04:25:44, 2012-09-28 04:25:44, -127,        3, (not associated) , Free_Viruses_Here
