
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:D9:E7:88:35:40, 2016-12-06 10:47:48, 2016-12-06 10:56:38, 11,  54, WPA2, CCMP,PSK, -82,       54,      264,   0.  0.  0.  0,   9, moovmedia, 
44:D9:E7:03:7D:AF, 2016-12-06 10:47:42, 2016-12-06 10:55:44,  6,  54, WPA2, CCMP,PSK, -77,       40,        0,   0.  0.  0.  0,  10, moov_zona2, 
00:3A:99:76:CA:10, 2016-12-06 10:48:53, 2016-12-06 10:55:36,  7,  54, WPA2, CCMP TKIP,PSK, -88,        2,        0,   0.  0.  0.  0,   7, REDWIFI, 
C0:56:27:79:77:96, 2016-12-06 10:48:31, 2016-12-06 10:54:50,  8,  54, WPA2, CCMP,PSK, -89,        4,        0,   0.  0.  0.  0,  11, TorresPetru, 
C0:A0:BB:C4:EB:54, 2016-12-06 10:51:09, 2016-12-06 10:55:39,  8,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B0:5A:DA:61:04:E1, 2016-12-06 10:47:52, 2016-12-06 10:56:41,  8,  54, WPA2, CCMP,PSK, -81,       51,        0,   0.  0.  0.  0,  32, DIRECT-DF-HP DeskJet 4670 series, 
4A:D9:E7:0B:A3:8A, 2016-12-06 10:47:48, 2016-12-06 10:56:37, 11,  54, WPA2, CCMP,PSK, -84,       29,       66,   0.  0.  0.  0,  12, Bikesantiago, 
00:30:4F:91:3E:CE, 2016-12-06 10:47:51, 2016-12-06 10:56:40,  2,  54, WPA2WPA , CCMP TKIP,PSK, -83,       63,       17,   0.  0.  0.  0,   9, SoporteIK, 
4A:D9:E7:21:02:49, 2016-12-06 10:47:48, 2016-12-06 10:56:38, 11,  54, WPA2, CCMP,PSK, -82,       35,       98,   0.  0.  0.  0,  12, Bikesantiago, 
2A:A4:3C:A3:C7:45, 2016-12-06 10:47:42, 2016-12-06 10:56:22,  6,  54, WPA2, CCMP,PSK, -80,       12,       60,   0.  0.  0.  0,  12, Bikesantiago, 
14:91:82:BA:C0:8E, 2016-12-06 10:47:42, 2016-12-06 10:56:41,  8,  54, WPA2WPA , CCMP TKIP,PSK, -72,      232,        7,   0.  0.  0.  0,  12, Indigo Chile, 
90:72:40:13:30:94, 2016-12-06 10:47:47, 2016-12-06 10:56:38, 11,  54, WPA2, CCMP,PSK, -49,      373,      735,   0.  0.  0.  0,  10, PiNet_wifi, 
B8:C7:5D:0C:BC:1D, 2016-12-06 10:47:47, 2016-12-06 10:56:38, 11,  54, WPA2, CCMP,PSK, -45,      417,      733,   0.  0.  0.  0,  10, PiNet_wifi, 
B8:AE:ED:E5:28:B4, 2016-12-06 10:49:50, 2016-12-06 10:56:41,  3,  54, WPA2, CCMP,PSK, -43,      337,        0,   0.  0.  0.  0,   9, daniel,AP, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:CD:FE:A7:AE:6D, 2016-12-06 10:55:32, 2016-12-06 10:55:32,  -1,        1, 44:D9:E7:88:35:40,
34:36:3B:7F:7D:B2, 2016-12-06 10:51:22, 2016-12-06 10:56:37,  -1,        4, 44:D9:E7:88:35:40,
D8:96:95:C6:07:B9, 2016-12-06 10:47:48, 2016-12-06 10:55:32,  -1,       28, 44:D9:E7:88:35:40,
34:E2:FD:41:3F:1A, 2016-12-06 10:52:33, 2016-12-06 10:55:32,  -1,        2, 44:D9:E7:88:35:40,
70:18:8B:04:F7:5F, 2016-12-06 10:48:52, 2016-12-06 10:55:32,  -1,        4, 44:D9:E7:88:35:40,
E4:CE:8F:0B:96:40, 2016-12-06 10:51:22, 2016-12-06 10:55:32,  -1,        7, 44:D9:E7:88:35:40,
34:BB:26:4A:57:83, 2016-12-06 10:51:22, 2016-12-06 10:55:32,  -1,        2, 44:D9:E7:88:35:40,
3C:15:C2:B8:9B:8C, 2016-12-06 10:51:22, 2016-12-06 10:55:32,  -1,        2, 44:D9:E7:88:35:40,
90:48:9A:1A:FE:09, 2016-12-06 10:48:52, 2016-12-06 10:55:32,  -1,        7, 44:D9:E7:88:35:40,
C8:BC:C8:D6:E2:CE, 2016-12-06 10:47:56, 2016-12-06 10:56:38, -83,       15, 4A:D9:E7:21:02:49,
20:C9:D0:DF:B3:8F, 2016-12-06 10:51:22, 2016-12-06 10:56:37,  -1,        9, 44:D9:E7:88:35:40,
B8:8D:12:3F:94:DA, 2016-12-06 10:51:09, 2016-12-06 10:55:22, -84,        2, C0:A0:BB:C4:EB:54,
6C:71:D9:86:EC:13, 2016-12-06 10:48:11, 2016-12-06 10:54:54, -34,      371, B8:C7:5D:0C:BC:1D,
70:77:81:BE:40:A2, 2016-12-06 10:53:04, 2016-12-06 10:54:24, -78,        6, 4A:D9:E7:21:02:49, Bikesantiago
A4:DB:30:1F:0C:C5, 2016-12-06 10:50:02, 2016-12-06 10:54:15, -85,       23, 44:D9:E7:88:35:40,
84:8E:0C:EB:08:99, 2016-12-06 10:51:22, 2016-12-06 10:56:37,  -1,        3, 44:D9:E7:88:35:40,
38:CA:DA:A2:47:D2, 2016-12-06 10:50:02, 2016-12-06 10:53:43,  -1,        2, 44:D9:E7:88:35:40,
48:5A:B6:50:E7:C0, 2016-12-06 10:52:16, 2016-12-06 10:52:16, -80,        1, 4A:D9:E7:21:02:49,
CC:C3:EA:F7:D5:B3, 2016-12-06 10:51:22, 2016-12-06 10:51:22,  -1,        1, 44:D9:E7:88:35:40,
08:74:02:CC:5C:6D, 2016-12-06 10:51:22, 2016-12-06 10:51:22,  -1,        1, 44:D9:E7:88:35:40,
04:69:F8:DD:11:D9, 2016-12-06 10:51:22, 2016-12-06 10:56:37,  -1,        2, 44:D9:E7:88:35:40,
AC:E0:10:EB:90:AD, 2016-12-06 10:51:22, 2016-12-06 10:51:22,  -1,        1, 44:D9:E7:88:35:40,
C4:62:EA:C0:AE:11, 2016-12-06 10:50:32, 2016-12-06 10:51:22,  -1,        3, 44:D9:E7:88:35:40,
F4:5C:89:D6:71:01, 2016-12-06 10:50:02, 2016-12-06 10:50:02,  -1,        1, 44:D9:E7:88:35:40,
B8:AE:ED:E5:28:B4, 2016-12-06 10:47:48, 2016-12-06 10:49:45, -34,      139, 90:72:40:13:30:94,
04:C2:3E:8A:CA:8F, 2016-12-06 10:49:23, 2016-12-06 10:56:38,  -1,        2, 44:D9:E7:88:35:40,
D4:9A:20:5F:05:9F, 2016-12-06 10:48:47, 2016-12-06 10:48:47, -35,        3, (not associated) ,
AC:5F:3E:A8:AE:55, 2016-12-06 10:49:31, 2016-12-06 10:49:31, -86,        1, 4A:D9:E7:21:02:49,
B0:10:41:8F:38:A5, 2016-12-06 10:50:09, 2016-12-06 10:50:09, -91,        1, (not associated) ,
